onset1	nucleus1	onset2	nucleus2	coda	shape	jamo	hangul	romanization	transcription
pʰ	wi			ŋ	CwVC	ㅍㅟᆼ	퓡	pwing	pʰwiŋ
c	wi	n	i	k̚	CwVCVC	ㅈㅟᄂㅣᆨ	쥐닉	jwinik	cwinik̚
k	wi	t	a	k̚	CwVCVC	ㄱㅟㄷㅏᆨ	귀닥	gwidak	kwitak̚
cʰm	a	t	u	ŋ	CNVCVC	ㅊᄆㅏㄷㅜᆼ			cʰmatuŋ
pʰ	wi	c	a	ŋ	CwVCVC	ㅍㅟㅈㅏᆼ	퓌장	pwijang	pʰwicaŋ
ncʰ	i	c	a	m	NCVCVC	ᄂㅊㅣㅈㅏᆷ			ncʰicam
mtʰ	i	s	o	p̚	NCVCVC	ᄆㅌㅣᄉㅗᆸ			mtʰisop̚
cʰn	o	s	u	k̚	CNVCVC	ㅊᄂㅗᄉㅜᆨ			cʰnosuk̚
t	o	n	i	k̚	CVCVC	ㄷㅗᄂㅣᆨ	도닉	donik	tonik̚
t	wi	k	i	n	CwVCVC	ㄷㅟㄱㅣᆫ	뒤긴	dwigin	twikin
c	u			t̚	CVC	ㅈㅜᆮ	줃	jut	cut̚
np	o	s	i	ŋ	NCVCVC	ᄂㅂㅗᄉㅣᆼ			nposiŋ
k	wi	pʰ	o	t̚	CwVCVC	ㄱㅟㅍㅗᆮ	귀폳	gwipot	kwipʰot̚
n	wa	c	i	t̚	CwVCVC	ᄂㅘㅈㅣᆮ	놔짇	nwajit	nwacit̚
c	wa			ŋ	CwVC	ㅈㅘᆼ	좡	jwang	cwaŋ
tʰm	u	t	i	p̚	CNVCVC	ㅌᄆㅜㄷㅣᆸ			tʰmutip̚
cʰ	wa	n	u	p̚	CwVCVC	ㅊㅘᄂㅜᆸ	촤눕	chwanup	cʰwanup̚
mt	a			k̚	NCVC	ᄆㄷㅏᆨ			mtak̚
mc	a	s	u	m	NCVCVC	ᄆㅈㅏᄉㅜᆷ			mcasum
nc	u			k̚	NCVC	ᄂㅈㅜᆨ			ncuk̚
mp	u	t	i	ŋ	NCVCVC	ᄆㅂㅜㄷㅣᆼ			mputiŋ
m	i			p̚	CVC	ᄆㅣᆸ	밉	mip	mip̚
pm	u			k̚	CNVC	ㅂᄆㅜᆨ			pmuk̚
kn	o			p̚	CNVC	ㄱᄂㅗᆸ			knop̚
t	i	p	a	k̚	CVCVC	ㄷㅣㅂㅏᆨ	디박	dibak	tipak̚
ncʰ	a			k̚	NCVC	ᄂㅊㅏᆨ			ncʰak̚
cʰ	wi	s	a	ŋ	CwVCVC	ㅊㅟᄉㅏᆼ	취상	chwisang	cʰwisaŋ
n	a	pʰ	o	k̚	CVCVC	ᄂㅏㅍㅗᆨ	나폭	napok	napʰok̚
cʰ	u			t̚	CVC	ㅊㅜᆮ	춛	chut	cʰut̚
pʰm	u	p	o	t̚	CNVCVC	ㅍᄆㅜㅂㅗᆮ			pʰmupot̚
pʰn	u	c	o	k̚	CNVCVC	ㅍᄂㅜㅈㅗᆨ			pʰnucok̚
s	a	pʰ	i	k̚	CVCVC	ᄉㅏㅍㅣᆨ	사픽	sapik	sapʰik̚
mcʰ	i	c	o	p̚	NCVCVC	ᄆㅊㅣㅈㅗᆸ			mcʰicop̚
cm	u	t	a	m	CNVCVC	ㅈᄆㅜㄷㅏᆷ			cmutam
pʰm	u			t̚	CNVC	ㅍᄆㅜᆮ			pʰmut̚
ncʰ	u			p̚	NCVC	ᄂㅊㅜᆸ			ncʰup̚
cm	o			t̚	CNVC	ㅈᄆㅗᆮ			cmot̚
kʰ	u			n	CVC	ㅋㅜᆫ	쿤	kun	kʰun
ncʰ	a			t̚	NCVC	ᄂㅊㅏᆮ			ncʰat̚
pʰ	wi			m	CwVC	ㅍㅟᆷ	퓜	pwim	pʰwim
nkʰ	u	pʰ	i	m	NCVCVC	ᄂㅋㅜㅍㅣᆷ			nkʰupʰim
s	o	cʰ	u	k̚	CVCVC	ᄉㅗㅊㅜᆨ	소축	sochuk	socʰuk̚
